Staphylococcus test positive,,,,
Abortion spontaneous,,,,
Muscle fatigue,muscle_weakness,fatigue,muscle_wasting,
Manufacturing laboratory analytical testing issue,,,,
Cavopulmonary anastomosis,,,,
Presbyphonia,,,,
Wound,,,,
Decreased ventricular afterload,,,,
Rectourethral fistula,,,,
Renal necrosis,,,,
Endoscopic retrograde cholangiopancreatography,,,,
Vena cava thrombosis,,,,
Vascular stenosis,,,,
Faecal calprotectin,,,,
Choking,,,,
Pleural mass,,,,
Hypergammaglobulinaemia benign monoclonal,,,,
Ovarian neoplasm,,,,
Wrong product administered,,,,
Autoimmune nephritis,,,,
Haemoglobin decreased,,,,
Blood immunoglobulin E,,,,
Injected limb mobility decreased,,,,
Hypoxic-ischaemic encephalopathy,,,,
Vascular access site pruritus,,,,
Tumour lysis syndrome,,,,
Respiratory syncytial virus test positive,,,,
Bundle branch block right,,,,
Acute on chronic liver failure,,,,
HLA-B*27 positive,,,,
Immune-mediated encephalitis,,,,
Infusion site extravasation,,,,
Accidental exposure to product,,,,
Insulin autoimmune syndrome,,,,
Intercepted product storage error,,,,
Debridement,,,,
Gastric perforation,,,,
Product preparation issue,,,,
Intestinal infarction,,,,
Urinary tract candidiasis,,,,
Immunoglobulin G4 related disease,,,,
Thyroid stimulating immunoglobulin,,,,
Medical device monitoring error,,,,
Benign hepatic neoplasm,,,,
Azoospermia,,,,
Lymphocyte percentage abnormal,,,,
Tumour inflammation,,,,
Cytomegalovirus enteritis,,,,
Eye haematoma,,,,
Benign bone neoplasm,,,,
Haemarthrosis,,,,
Atonic urinary bladder,,,,
Stupor,,,,
Paraneoplastic encephalomyelitis,,,,
Dermatitis herpetiformis,,,,
Upper airway obstruction,,,,
Activated partial thromboplastin time prolonged,,,,
Mycoplasma test positive,,,,
Loss of personal independence in daily activities,,,,
Acute abdomen,,,,
Multiple sclerosis,,,,
Hypoglycaemic encephalopathy,irregular_sugar_level,,,
Laevocardia,,,,
CSF red blood cell count positive,,,,
Product taste abnormal,,,,
Post 5-alpha-reductase inhibitor syndrome,,,,
Transfusion,,,,
Calculus urinary,,,,
Off label use,,,,
Urethral spasm,,,,
Expired device used,,,,
Weight abnormal,weight_loss,,,
Upper limb fracture,,,,
Hyporeflexia,,,,
Hypoaesthesia,,,,
Deafness permanent,,,,
Pneumatosis,,,,
Hepatic seroma,,,,
Marrow hyperplasia,,,,
Local anaesthesia,,,,
Screaming,,,,
Cardiac failure congestive,,,,
Gingival swelling,,,,
Postoperative abscess,,,,
Sinus node dysfunction,,,,
Tibia fracture,,,,
Muscle contracture,,,,
Mean cell haemoglobin concentration abnormal,,,,
Meteoropathy,,,,
Fallopian tube disorder,,,,
Polyglandular autoimmune syndrome type II,,,,
Pharyngeal hypoaesthesia,,,,
Renal cancer stage II,,,,
Infusion related hypersensitivity reaction,,,,
Hypovolaemia,,,,
Idiopathic intracranial hypertension,,,,
Coccidioidomycosis,,,,
Tobacco poisoning,,,,
Large intestine operation,,,,
Upper gastrointestinal haemorrhage,,,,
Trichosporon infection,,,,
Coronary arterial stent insertion,,,,
Nephrolithiasis,,,,
Traumatic lung injury,,,,
Gastrointestinal submucosal tumour,,,,
Pseudofolliculitis,,,,
Bradypnoea,,,,
Pseudohermaphroditism male,,,,
Fibroblast growth factor 23 increased,,,,
Fundoscopy abnormal,,,,
Abdominal distension,,,,
Lung adenocarcinoma stage III,,,,
Physiotherapy,,,,
Beta 2 microglobulin increased,,,,
Congenital melanocytic naevus,,,,
Penile swelling,,,,
Tanning,,,,
Aspergillus infection,,,,
Paraplegia,,,,
Acute hepatitis B,,,,
Implant site erythema,,,,
Mevalonate kinase deficiency,,,,
Stoma closure,,,,
Histamine level increased,,,,
Ischaemic gastritis,,,,
Prolonged labour,,,,
Cytomegalovirus urinary tract infection,,,,
Device ineffective,,,,
Matrix metalloproteinase-3 increased,,,,
Subarachnoid haemorrhage,,,,
Thyroiditis chronic,,,,
Hypocalcaemia,,,,
Weight gain poor,,,,
Post procedural sepsis,,,,
Scrotal inflammation,,,,
Injection site oedema,,,,
Vulvovaginal discomfort,,,,
Failure to thrive,,,,
Hypercatabolism,,,,
Bankruptcy,,,,
Liver injury,,,,
Spinal epidural haematoma,,,,
Pulmonary contusion,,,,
Vocal cord polyp,,,,
Oncocytoma,,,,
Separation anxiety disorder,anxiety,,,
Radioisotope scan abnormal,,,,
Testicular seminoma (pure) stage I,,,,
Cyanosis,,,,
Fallopian tube cancer,,,,
Metastases to meninges,,,,
Endocarditis enterococcal,,,,
Electrocardiogram Q wave abnormal,,,,
Herpes zoster reactivation,,,,
Arteriogram coronary abnormal,,,,
Mesenteric panniculitis,,,,
Anorectal infection,,,,
Lipoprotein (a) increased,,,,
Drug ineffective,,,,
Lung squamous cell carcinoma stage IV,,,,
PCO2 decreased,,,,
Progressive external ophthalmoplegia,,,,
Intestinal fistula infection,,,,
Cystic fibrosis lung,,,,
Cardiomyopathy acute,,,,
Blister rupture,,,,
Autoimmune hypothyroidism,,,,
Toxoplasma serology positive,,,,
Complications of transplant surgery,,,,
Coronary artery bypass,,,,
Post inflammatory pigmentation change,,,,
Smear cervix abnormal,,,,
Limb injury,,,,
Exomphalos,,,,
Occupational therapy,,,,
Intensive care unit acquired weakness,,,,
Nephrostomy,,,,
Diabetic cheiroarthropathy,,,,
Nasopharyngeal cancer,,,,
Corneal thinning,,,,
Prodromal Alzheimer's disease,,,,
Otorhinolaryngological surgery,,,,
Diffuse large B-cell lymphoma recurrent,,,,
Naevus haemorrhage,,,,
Blood calcitonin increased,,,,
Systemic viral infection,,,,
Disease susceptibility,,,,
Transitional cell carcinoma metastatic,,,,
Mucocutaneous ulceration,,,,
Tracheal erythema,,,,
Venous pressure abnormal,,,,
Intervertebral disc disorder,,,,
Peritoneal carcinoma metastatic,,,,
Failed examinations,,,,
Ocular ischaemic syndrome,,,,
Prostatic mass,,,,
Acute haemorrhagic ulcerative colitis,,,,
Application site oedema,,,,
Injection site atrophy,,,,
Skin irritation,,,,
Fanconi syndrome acquired,,,,
Nephrogenic diabetes insipidus,,,,
Hepatic cancer recurrent,,,,
Vulvovaginal candidiasis,,,,
Product expiration date issue,,,,
Congenital brain damage,,,,
Granulomatous lymphadenitis,,,,
Application site ulcer,,,,
Herpes sepsis,,,,
Cardiac index increased,,,,
Seizure,,,,
Product contamination microbial,,,,
Blood viscosity increased,,,,
Pemphigoid,,,,
Leukopenia neonatal,,,,
Shock hypoglycaemic,irregular_sugar_level,,,
Lipids decreased,,,,
Coronary artery thrombosis,,,,
Stent placement,,,,
Myocardial hypoperfusion,,,,
Amoebic dysentery,,,,
Lacrimal disorder,,,,
Cold-stimulus headache,headache,,,
Coagulation time shortened,,,,
Diaphragm muscle weakness,,,,
Manufacturing product shipping issue,,,,
Transformation to acute myeloid leukaemia,,,,
Lymphocytic hypophysitis,,,,
Bone decalcification,,,,
Amenorrhoea,,,,
Hand deformity,,,,
Diabetic metabolic decompensation,,,,
Subacute combined cord degeneration,,,,
Product solubility abnormal,,,,
Anaemia megaloblastic,,,,
Inhibiting antibodies,,,,
Acute erythroid leukaemia,,,,
Lipids abnormal,,,,
Human ehrlichiosis,,,,
Retinal perivascular sheathing,,,,
Acquired plagiocephaly,,,,
Porphyria,,,,
Product preparation error,,,,
Drug ineffective for unapproved indication,,,,
Retinal dystrophy,,,,
Amyotrophic lateral sclerosis,,,,
Nasal septum disorder,,,,
Cryptitis,,,,
Posterior tibial tendon dysfunction,,,,
Phaeohyphomycosis,,,,
Chronic cutaneous lupus erythematosus,,,,
Penile prosthesis removal,,,,
Hypocholesterolaemia,,,,
Haemorrhagic infarction,,,,
Lagophthalmos,,,,
Feeding disorder,,,,
Lip haemorrhage,,,,
Reticulocyte count decreased,,,,
Surgical fixation of rib fracture,,,,
Nodal rhythm,,,,
Dilatation atrial,,,,
Product packaging difficult to open,,,,
Ventricular dyskinesia,,,,
Physical assault,,,,
Uterine infection,,,,
Hysterectomy,,,,
Epiglottitis,,,,
Labelled drug-disease interaction medication error,,,,
Tendon discomfort,,,,
Neovascularisation,,,,
Accident at work,,,,
Engraftment syndrome,,,,
Myocardial necrosis marker,,,,
Encephalitis brain stem,,,,
Infection masked,,,,
Male sexual dysfunction,,,,
External auditory canal atresia,,,,
Coccygectomy,,,,
Heart sounds,,,,
Osteonecrosis of jaw,,,,
Benign tumour excision,,,,
Basal ganglion degeneration,,,,
Chimerism,,,,
Enthesopathy,,,,
Restless arm syndrome,,,,
Device use issue,,,,
Gastrointestinal ulcer haemorrhage,,,,
Soft tissue swelling,,,,
Phaeochromocytoma,,,,
Electrolyte imbalance,,,,
Renal function test normal,,,,
Dementia Alzheimer's type,,,,
Paranasal sinus mucosal hypertrophy,,,,
Bronchial fistula,,,,
Fracture of penis,,,,
Atrial appendage closure,,,,
Dehiscence,,,,
Non-Hodgkin's lymphoma recurrent,,,,
Arterial haemorrhage,,,,
Atelectasis neonatal,,,,
Hepatic angiosarcoma,,,,
Splenic abscess,,,,
Progressive multiple sclerosis,,,,
Parophthalmia,,,,
Aspiration joint,,,,
Amoeba test positive,,,,
Malignant melanoma stage II,,,,
Agitation neonatal,,,,
Abdominal sepsis,,,,
Struck by lightning,,,,
Spermatozoa abnormal,,,,
Meningioma,,,,
Serositis,,,,
Oesophageal ulcer,,,,
Lip lesion excision,,,,
Blister infected,,,,
Coma scale,,,,
Fungal disease carrier,,,,
Medical device site necrosis,,,,
Bronchial injury,,,,
Cervicitis,,,,
Heterotaxia,,,,
Viral upper respiratory tract infection,,,,
Rhodococcus infection,,,,
Skin degenerative disorder,,,,
Transplant evaluation,,,,
Perihepatic abscess,,,,
Anosmia,loss_of_smell,,,
Keratoconus,,,,
Heart valve stenosis,,,,
Open angle glaucoma,,,,
Prostate cancer stage II,,,,
Eye infection bacterial,redness_of_eyes,watering_from_eyes,,
Oral neoplasm benign,,,,
Visual acuity tests,,,,
Pancreatic polypeptide level decreased,,,,
Red blood cell burr cells present,,,,
Choroidal neovascularisation,,,,
Feelings of worthlessness,,,,
Nail ridging,small_dents_in_nails,,,
Salivary hypersecretion,,,,
Barrel chest,,,,
Eyelid scar,,,,
Joint destruction,,,,
Oral contusion,,,,
Irregular sleep wake rhythm disorder,,,,
Postoperative wound infection,,,,
Borderline personality disorder,,,,
Tracheal cancer,,,,
"Hallucination, visual",,,,
Supportive care,,,,
Testis cancer recurrent,,,,
Anaplastic lymphoma kinase gene mutation,,,,
Slow vital capacity decreased,,,,
Autoimmune neuropathy,,,,
Perinatal depression,,,,
Laryngeal cancer,,,,
Cystic fibrosis,,,,
Sinus congestion,sinus_pressure,,,
Cerebral haemorrhage,,,,
Infusion site reaction,,,,
Folliculitis,,,,
Lung consolidation,,,,
Uterine spasm,,,,
Vaccination site inflammation,,,,
Skin sensitisation,,,,
Oesophageal papilloma,,,,
Perforated ulcer,,,,
Chronic graft versus host disease,,,,
Bicuspid aortic valve,,,,
Learning disability,,,,
Arrhythmia,,,,
Melaena,,,,
Capillary fragility decreased,,,,
Traumatic haemothorax,,,,
Dengue fever,high_fever,,,
Eye infection,redness_of_eyes,watering_from_eyes,,
Pneumothorax,,,,
Affective ambivalence,,,,
Tumour thrombosis,,,,
Feeling abnormal,,,,
Middle ear effusion,,,,
Laryngeal inflammation,,,,
Infusion site cellulitis,,,,
Hyperglycaemic unconsciousness,irregular_sugar_level,,,
Gene mutation identification test positive,,,,
Meningitis streptococcal,,,,
Retinal drusen,,,,
Cardiovascular examination abnormal,,,,
Failed in vitro fertilisation,,,,
Chronic graft versus host disease in skin,,,,
Cytomegalovirus syndrome,,,,
Platelet aggregation,,,,
Trichomegaly,,,,
Pleurothotonus,,,,
Lymphocytopenia neonatal,,,,
Dexamethasone suppression test positive,,,,
Gastric dilatation,,,,
Foreign body,,,,
Femoral nerve palsy,,,,
Ligament pain,,,,
Cholecystitis acute,,,,
Electrocardiogram P wave abnormal,,,,
Familial mediterranean fever,high_fever,,,
Systolic anterior motion of mitral valve,,,,
Corneal degeneration,,,,
Spinal cord abscess,,,,
Dorsal ramus syndrome,,,,
Lung lobectomy,,,,
Platelet count abnormal,,,,
Enzyme level abnormal,,,,
Candida sepsis,,,,
Missed labour,,,,
Thought blocking,,,,
Endocrine disorder,,,,
Dental cyst,,,,
Hepatitis C virus test positive,,,,
Corneal erosion,,,,
Pseudoxanthoma elasticum,,,,
Corneal bleeding,,,,
Postoperative adhesion,,,,
Heart rate increased,fast_heart_rate,,,
Intentional dose omission,,,,
Hyperreflexia,,,,
Pseudomonal bacteraemia,,,,
Skin reaction,,,,
Dental caries,,,,
Respiratory gas exchange disorder,,,,
Toxic shock syndrome streptococcal,,,,
Administration site irritation,,,,
Ventricular pre-excitation,,,,
Coagulation factor VIII level abnormal,,,,
Postural tremor,,,,
Sensory loss,,,,
Agnosia,,,,
Epiglottic oedema,,,,
Lymphocyte morphology,,,,
Varicella,,,,
Vitamin A decreased,,,,
Bladder irritation,bladder_discomfort,,,
Mental disorder,,,,
Total complement activity increased,,,,
Paranasal sinus hypersecretion,,,,
Sensitive skin,,,,
Injection site hyperaesthesia,,,,
Axial spondyloarthritis,,,,
"Hallucination, tactile",,,,
Trisomy 18,,,,
Pneumococcal infection,,,,
Pruritus,itching,,,
Thyrotoxic crisis,,,,
Culture throat positive,,,,
Acoustic neuroma,,,,
Animal bite,,,,
Hepatitis B surface antigen positive,,,,
Muckle-Wells syndrome,,,,
Vasoplegia syndrome,,,,
Endocarditis noninfective,,,,
Complement factor C3 decreased,,,,
Infective thrombosis,,,,
Contrast encephalopathy,,,,
Koebner phenomenon,,,,
Hyperleukocytosis,,,,
Venous stasis retinopathy,,,,
Pseudocyst,,,,
Tricuspid valve stenosis,,,,
Lichenification,,,,
Fatigue,muscle_weakness,fatigue,,
Musculoskeletal toxicity,,,,
Carotid artery occlusion,,,,
Smooth muscle cell neoplasm,,,,
Adjustment disorder with mixed anxiety and depressed mood,mood_swings,anxiety,,
Coma hepatic,coma,,,
Toxic leukoencephalopathy,,,,
Myocardial bridging,,,,
Polypectomy,,,,
Cardiac pacemaker insertion,,,,
Pancreatic stent placement,,,,
Visceral venous thrombosis,,,,
Caecum operation,,,,
Scrotal erythema,,,,
Cystic fibrosis respiratory infection suppression,,,,
CD4 lymphocytes decreased,,,,
Autoimmune enteropathy,,,,
Systemic infection,,,,
Uterine irritability,,,,
Injection site telangiectasia,,,,
Peritoneal dialysis,,,,
Colon cancer stage II,,,,
Product quality control issue,,,,
Colon neoplasm,,,,
Orthopaedic procedure,,,,
Pregnancy with advanced maternal age,,,,
Anti-prothrombin antibody positive,,,,
Macrocytosis,,,,
Photosensitivity reaction,,,,
Metastases to stomach,,,,
Fixed eruption,,,,
Premenstrual headache,headache,,,
Device toxicity,,,,
Gastrooesophageal reflux disease,acidity,,,
Duodenal switch,,,,
Hypotension,,,,
Therapeutic product effect prolonged,,,,
Agoraphobia,,,,
Anaesthetic complication cardiac,,,,
Neoplasm of appendix,,,,
Oropharyngitis fungal,,,,
Conjunctival discolouration,,,,
Ventricular dysfunction,,,,
Gastroduodenal haemorrhage,,,,
Pleocytosis,,,,
"Sleep disorder due to general medical condition, insomnia type",,,,
Central nervous system stimulation,,,,
Device failure,,,,
Lung cancer metastatic,,,,
Device therapy,,,,
Dental implantation,,,,
Central nervous system vasculitis,swollen_blood_vessels,,,
Syphilis,,,,
Faeces pale,,,,
Radius fracture,,,,
Pseudocellulitis,,,,
Intervertebral disc protrusion,,,,
Lymphocyte percentage decreased,,,,
Seronegative arthritis,,,,
Thoracic spinal stenosis,,,,
Injection site haemorrhage,,,,
Congenital cutis laxa,,,,
Tracheal inflammation,,,,
Abdominal discomfort,abdominal_pain,,,
Hiatus hernia,,,,
Lenticular opacities,,,,
Cerebral ventricle dilatation,,,,
Thrombophlebitis migrans,,,,
Dependence on oxygen therapy,,,,
Rotator cuff repair,,,,
Speech sound disorder,,,,
Phantom limb syndrome,,,,
Antibody test negative,,,,
Non-consummation,,,,
Plethoric face,,,,
Haematochezia,,,,
Blood lactic acid abnormal,,,,
Serum serotonin increased,,,,
Subgaleal haematoma,,,,
Hypovitaminosis,,,,
Tooth erosion,,,,
Full blood count decreased,,,,
Venous aneurysm,,,,
Blood test abnormal,,,,
Tooth development disorder,,,,
Radiotherapy to brain,,,,
Band neutrophil percentage,,,,
Multiple endocrine neoplasia,,,,
Infected skin ulcer,,,,
Phyllodes tumour,,,,
Lipid metabolism disorder,,,,
Multi-vitamin deficiency,,,,
Transplant rejection,,,,
Non-small cell lung cancer stage IV,,,,
Cochlea implant,,,,
Diffuse mesangial sclerosis,,,,
Chondrosarcoma,,,,
Blood alkaline phosphatase decreased,,,,
Allogenic bone marrow transplantation therapy,,,,
Drug resistance,,,,
Dry gangrene,,,,
Respiratory syncytial virus bronchiolitis,,,,
Coronary artery restenosis,,,,
Acute graft versus host disease in intestine,,,,
Bilirubin urine present,,,,
Anastomotic ulcer perforation,,,,
Intestinal tuberculosis,,,,
Tachyarrhythmia,,,,
Parathyroidectomy,,,,
Skin test positive,,,,
Serum ferritin decreased,,,,
Chest wall mass,,,,
Respiratory fatigue,,,,
Impaired insulin secretion,,,,
Articular calcification,,,,
Amniorrhexis,,,,
Encephalomyelitis,,,,
Libido disorder,,,,
Atonic seizures,,,,
Soft tissue disorder,,,,
Metastases to soft tissue,,,,
Asthenia,weakness_of_one_body_side,,,
Eyelid margin crusting,,,,
Gout,,,,
Vulvovaginal rash,,,,
Cleft lip,,,,
Bladder discomfort,bladder_discomfort,,,
Cerebral microhaemorrhage,,,,
Tendon injury,,,,
Orthodontic procedure,,,,
Pancreatic carcinoma stage II,,,,
Drug withdrawal convulsions,,,,
Intrauterine infection,,,,
Pyrexia,,,,
Reticulocyte percentage increased,,,,
Alopecia universalis,,,,
Hostility,,,,
Acute myocardial infarction,,,,
Abscess sweat gland,sweating,,,
Reflexes abnormal,,,,
IVth nerve paralysis,,,,
Dermo-hypodermitis,,,,
Arnold-Chiari malformation,,,,
Variant Creutzfeldt-Jakob disease,,,,
Skin graft detachment,,,,
Venous perforation,,,,
Fluid retention,fluid_overload,,,
Tourette's disorder,,,,
Anxiety disorder,lack_of_concentration,anxiety,,
Induration,,,,
Tubulointerstitial nephritis and uveitis syndrome,,,,
Cytomegalovirus infection reactivation,,,,
Haemoglobin,,,,
Gastroenterostomy,,,,
Abdominal wall haemorrhage,,,,
Hyponatraemic seizure,,,,
Toxic epidermal necrolysis,,,,
Physical abuse,,,,
Therapeutic product effect incomplete,,,,
Bronchitis chronic,,,,
Renal cyst infection,,,,
Multifocal motor neuropathy,,,,
Vascular compression,,,,
Spinal corpectomy,,,,
Vertebral foraminal stenosis,,,,
Antibiotic level below therapeutic,,,,
Wound infection bacterial,,,,
Pelvic neoplasm,,,,
Chronic hepatic failure,,,,
Trichoglossia,,,,
Foetal anticonvulsant syndrome,,,,
Sarcoma,,,,
Ureteric anastomosis complication,,,,
Fistula of small intestine,,,,
Splenic vein thrombosis,,,,
Spleen follicular hyperplasia,,,,
Accident at home,,,,
Bronchitis pneumococcal,,,,
"Delusional disorder, persecutory type",,,,
Urticarial vasculitis,,,,
Vulvovaginal pruritus,,,,
Penile abscess,,,,
